iter,loss,mask-enc,mask-pred,time (ms)
687,0.00063,114.00000,20.00000,90
688,0.00071,115.00000,20.00000,92
689,0.00213,111.00000,20.00000,104
690,0.00078,111.00000,20.00000,115
691,0.00014,117.00000,20.00000,95
692,0.00021,112.00000,20.00000,90
693,0.00042,118.00000,20.00000,94
694,0.00021,116.00000,20.00000,94
695,0.00024,112.00000,20.00000,88
696,0.00062,112.00000,20.00000,97
697,0.00042,101.00000,24.00000,94
698,0.00019,114.00000,20.00000,89
699,0.00016,113.00000,20.00000,93
700,0.00169,111.00000,20.00000,89
701,0.00012,112.00000,20.00000,87
702,0.00043,105.00000,24.00000,88
703,0.00051,110.00000,20.00000,89
704,0.00034,100.00000,24.00000,98
705,0.00027,116.00000,20.00000,101
706,0.00021,111.00000,20.00000,95
707,0.00014,113.00000,20.00000,93
708,0.00021,133.00000,16.00000,123
709,0.00014,91.00000,24.00000,84
710,0.00091,115.00000,20.00000,92
711,0.00045,114.00000,20.00000,91
712,0.00018,110.00000,20.00000,90
713,0.00019,113.00000,20.00000,92
714,0.00036,113.00000,20.00000,90
715,0.00028,116.00000,20.00000,90
716,0.00144,99.00000,24.00000,84
717,0.00041,109.00000,20.00000,89
718,0.00010,96.00000,24.00000,80
719,0.00013,115.00000,20.00000,90
720,0.00013,114.00000,20.00000,89
721,0.00030,118.00000,20.00000,110
722,0.00016,116.00000,20.00000,103
723,0.00010,112.00000,20.00000,89
724,0.00024,113.00000,20.00000,93
725,0.00060,115.00000,20.00000,93
726,0.00019,93.00000,24.00000,81
727,0.00021,94.00000,24.00000,84
728,0.00023,115.00000,20.00000,92
729,0.00025,109.00000,20.00000,97
